DEPTH,CASEOD,MATRXDEN,ABHV,DCAL,DPOR,GR,NPOR,RHOB,RHOC,SCAL
918.5,4.5,2.71,2.9937,6.3598,12.2132,83.9371,17.7156,2.5012,0.137,6.695
918,4.5,2.71,3.0546,6.3663,11.3687,88.8788,19.4702,2.5156,0.1416,6.6872
917.5,4.5,2.71,3.1158,6.3807,12.0488,100.3939,21.3796,2.504,0.132,6.6904
917,4.5,2.71,3.1773,6.3929,13.1223,124.3528,22.5691,2.4856,0.1252,6.6945
916.5,4.5,2.71,3.2389,6.3979,13.8913,163.0629,22.9033,2.4725,0.1378,6.695
916,4.5,2.71,3.3006,6.4007,14.5926,191.3667,22.8955,2.4605,0.138,6.7005
915.5,4.5,2.71,3.3626,6.4031,15.2213,184.6929,22.7227,2.4497,0.1255,6.7138
915,4.5,2.71,3.4248,6.4038,15.3781,158.2807,22.4281,2.447,0.1223,6.723
914.5,4.5,2.71,3.487,6.4032,15.215,136.0198,21.8853,2.4498,0.1211,6.7243
914,4.5,2.71,3.5492,6.404,15.1827,123.6687,21.412,2.4504,0.1161,6.7252
913.5,4.5,2.71,3.6115,6.4038,15.2827,118.5703,21.5076,2.4487,0.1159,6.7282
913,4.5,2.71,3.6738,6.4028,15.2059,114.6518,22.1412,2.45,0.125,6.7308
912.5,4.5,2.71,3.7362,6.4047,14.914,111.7024,22.8833,2.455,0.1311,6.7332
912,4.5,2.71,3.7986,6.4063,14.6536,113.1666,23.3957,2.4594,0.1271,6.7344
911.5,4.5,2.71,3.861,6.4061,14.5263,114.8639,23.3512,2.4616,0.123,6.7346
911,4.5,2.71,3.9234,6.4059,14.4599,115.4026,22.7711,2.4627,0.1252,6.7333
910.5,4.5,2.71,3.9859,6.4055,14.356,114.7924,22.1357,2.4645,0.125,6.7348
910,4.5,2.71,4.0484,6.4078,13.9968,113.1097,22.0997,2.4707,0.1281,6.7403
909.5,4.5,2.71,4.1113,6.421,13.4887,110.3815,22.4704,2.4793,0.1362,6.7435
909,4.5,2.71,4.1745,6.4441,13.3765,109.4187,22.6378,2.4813,0.1334,6.7406
908.5,4.5,2.71,4.238,6.4617,13.7937,113.0354,22.6892,2.4741,0.1218,6.7341
908,4.5,2.71,4.3016,6.4782,14.2931,118.6672,22.8862,2.4656,0.1103,6.7314
907.5,4.5,2.71,4.3657,6.4986,14.5246,120.2768,22.8008,2.4616,0.1022,6.7325
907,4.5,2.71,4.4301,6.5108,14.4164,117.202,22.3128,2.4635,0.0886,6.7323
906.5,4.5,2.71,4.4944,6.515,13.8494,118.9211,21.9975,2.4732,0.0772,6.7312
906,4.5,2.71,4.559,6.5252,13.0436,123.2366,22.159,2.487,0.0764,6.7334
905.5,4.5,2.71,4.6239,6.5406,12.5858,122.3952,22.2985,2.4948,0.0621,6.7351
905,4.5,2.71,4.689,6.5519,12.3953,118.6107,22.1841,2.498,0.0352,6.7348
904.5,4.5,2.71,4.7543,6.5598,11.9541,116.5282,22.2965,2.5056,0.0224,6.735
904,4.5,2.71,4.8197,6.5677,11.1398,115.0153,22.4086,2.5195,0.0252,6.7363
903.5,4.5,2.71,4.8853,6.5746,10.2012,109.8268,22.4346,2.5356,0.0385,6.7374
903,4.5,2.71,4.951,6.5781,9.7364,104.9937,22.4686,2.5435,0.047,6.7385
902.5,4.5,2.71,5.0168,6.579,10.1195,106.3023,22.2356,2.537,0.0376,6.7468
902,4.5,2.71,5.0827,6.5796,10.8711,110.9616,22.1223,2.5241,0.0241,6.7544
901.5,4.5,2.71,5.1488,6.585,11.3312,110.8392,22.3462,2.5162,0.023,6.7556
901,4.5,2.71,5.2152,6.5982,11.3572,109.1999,22.4009,2.5158,0.0241,6.7575
900.5,4.5,2.71,5.2818,6.6092,11.0464,111.3804,22.2685,2.5211,0.0245,6.7601
900,4.5,2.71,5.3485,6.6135,10.3185,112.9695,22.0244,2.5336,0.027,6.7601
899.5,4.5,2.71,5.4152,6.6134,8.8579,110.6849,21.9331,2.5585,0.0357,6.7563
899,4.5,2.71,5.4817,6.6122,6.707,104.5243,22.2547,2.5953,0.0466,6.7501
