DEPTH,CILD,CALN,CALD,GR,ILD,ILM,LWTLB,NPLS,DPLS,RXRT,SFL,SP,DRHO,RHOB,PE
505.5,108.31,6.86,6.97,84.6,9.23,10.43,785.97,20.71,11.12,-17.87,11.96,-26.25,0.01,2.52,3.37
506,106.01,6.86,6.97,83.64,9.43,10.7,763.48,20.29,11.47,-18.25,12.3,-26.33,0.01,2.51,3.35
506.5,102.6,6.86,6.97,94.98,9.75,10.74,739.36,20.26,11.79,-16.56,12.25,-26.04,0,2.51,3.34
507,98.5,6.86,6.97,103.83,10.15,10.69,727.64,20.04,12.1,-13.8,12.03,-25.58,-0.01,2.5,3.34
507.5,93.74,6.86,6.97,108.29,10.67,10.75,733.38,20.28,12.6,-10.4,11.79,-24.9,-0.01,2.49,3.32
508,89.24,6.86,6.97,108.65,11.21,11.12,744.93,20.54,12.88,-8.12,11.83,-23.68,-0.01,2.49,3.25
508.5,86.63,6.86,6.97,107.3,11.54,11.96,749.08,20.54,12.18,-11.79,13.06,-21.7,0,2.5,3.1
509,86.14,6.86,6.97,103.13,11.61,13.15,749.79,19.65,11.13,-21.66,16.11,-19,0,2.52,3.03
509.5,87.33,6.86,6.97,91.42,11.45,14.05,753.26,17.68,9.92,-31.51,19.97,-15.8,0,2.54,3.06
510,88.81,6.86,6.97,82.7,11.26,13.79,766.11,15.35,8.94,-34.82,21.3,-12.53,0,2.56,3.2
510.5,90,6.86,6.97,85.77,11.11,12.46,775.03,14.24,9.19,-28.94,18.26,-9.64,0,2.55,3.28
511,91.72,6.86,6.97,98.27,10.9,10.98,776.23,15.55,9.91,-18.61,14.22,-7.41,0,2.54,3.25
511.5,95.2,6.86,6.97,113.34,10.5,9.92,773.87,19.21,10.62,-11.22,11.81,-6.13,0,2.53,3.2
512,101.02,6.86,6.96,121,9.9,9.29,764.38,23.58,10.97,-10.35,10.97,-5.6,0,2.52,3.19
512.5,107.88,6.86,6.97,122.3,9.27,8.94,758.22,25.99,10.87,-12.83,10.81,-5.27,0,2.52,3.19
513,114.58,6.86,6.97,124.01,8.73,8.69,746.94,26.12,10.52,-14.88,10.64,-4.92,0,2.53,3.21
513.5,119.75,6.86,6.97,126.17,8.35,8.46,738.9,25.86,9.93,-15.53,10.34,-4.66,0,2.54,3.28
514,123.47,6.86,6.97,129.21,8.1,8.23,730.05,26.66,9.62,-15.23,9.98,-4.67,0,2.55,3.39
514.5,126.06,6.86,6.97,131.49,7.93,8.01,730.16,27.61,9.3,-14.75,9.68,-4.96,0,2.55,3.46
515,128.37,6.86,6.97,128.6,7.79,7.82,726.52,27.1,8.52,-14.76,9.52,-5.36,0,2.56,3.41
515.5,130.81,6.86,6.97,125.08,7.64,7.65,724.28,26.87,8.63,-14.82,9.36,-5.67,0,2.56,3.37
516,132.57,6.85,6.97,126.33,7.54,7.51,712.07,26.8,9.85,-14.2,9.12,-5.92,-0.01,2.54,3.43
516.5,132.94,6.85,6.97,130.45,7.52,7.42,703.77,27.76,10.53,-12.9,8.86,-6.14,-0.01,2.53,3.47
517,131.86,6.86,6.97,133.51,7.58,7.43,687.33,29.04,10.56,-11.36,8.65,-6.38,-0.01,2.53,3.4
517.5,129.36,6.86,6.97,132.08,7.73,7.58,674.38,29.69,10.1,-10.26,8.63,-6.76,0,2.54,3.24
518,126.64,6.85,6.97,130.07,7.9,7.91,649.73,29.46,9.65,-11.03,8.94,-7.12,0,2.54,3.17
518.5,123.38,6.86,6.97,133.76,8.1,8.38,629.73,27.94,9.78,-13.89,9.71,-7.36,0,2.54,3.23
519,119.27,6.86,6.97,133.54,8.38,8.89,613.85,27.32,10.22,-16.49,10.59,-7.38,0,2.54,3.29
519.5,114.57,6.86,6.97,124.82,8.73,9.33,612.79,27.53,10.87,-16.6,11.03,-7.08,-0.01,2.52,3.22
520,109.56,6.86,6.96,122.11,9.13,9.66,619.38,26.32,11.68,-14.82,11.09,-6.51,-0.01,2.51,3.21
520.5,105,6.86,6.97,126.7,9.52,9.93,629.86,25.69,12.37,-13.19,11.18,-5.77,-0.01,2.5,3.39
521,101.35,6.86,6.97,130.87,9.87,10.17,636.43,25.65,12.15,-12.4,11.38,-4.97,0,2.5,3.59
521.5,99.24,6.86,6.97,133.26,10.08,10.4,647,25.27,11.14,-12.14,11.55,-4.31,0.01,2.52,3.64
