DEPTH,CILD,CALN,CALD,GR,ILD,ILM,LWTLB,NPLS,DPLS,RXRT,SFL,SP,DRHO,RHOB,PE
586.5,139.64,6.86,6.97,262.07,7.16,6.86,737.29,30.84,19.54,-19.31,9.65,-27.13,0.01,2.38,3.31
587,151.71,6.86,6.97,177.28,6.59,6.17,749.39,25.22,13.77,-14.88,8.11,-27.9,0,2.47,3.55
587.5,161.75,6.86,6.97,140.07,6.18,5.78,769,22.65,10.03,-14.64,7.59,-30.13,0.01,2.54,3.7
588,166.26,6.86,6.97,131.33,6.01,5.62,783.49,22.9,9.33,-13.77,7.26,-33.03,0,2.55,3.66
588.5,164.74,6.86,6.97,123.5,6.07,5.7,797.07,23.59,10.54,-11.46,7,-35.9,0,2.53,3.66
589,158.66,6.86,6.97,116.9,6.3,6.07,800.44,23.48,10.83,-11.84,7.31,-38.33,0,2.52,3.59
589.5,150.02,6.86,6.97,116.31,6.67,6.81,804.12,23.59,9.79,-17.8,8.72,-40.01,0,2.54,3.45
590,140.78,6.86,6.97,111.11,7.1,7.92,800.96,23.25,8.85,-25.75,11.05,-41.53,0,2.56,3.36
590.5,130.9,6.86,6.97,97.76,7.64,9.21,801.05,19.73,7.77,-30.22,13.15,-43.46,0,2.58,3.38
591,120.12,6.86,6.97,87.87,8.32,10.17,794.63,15.6,6.56,-29.37,13.98,-45.54,0,2.6,3.61
591.5,109.26,6.86,6.97,85.42,9.15,10.44,792.63,14.48,6.35,-24.01,13.53,-47.07,0,2.6,3.85
592,99.88,6.86,6.97,82.64,10.01,10.28,779.2,15.65,7.03,-16.14,12.44,-47.52,0,2.59,3.93
592.5,94.33,6.86,6.97,85.59,10.6,10.16,770.74,16.99,7.53,-9.84,11.58,-47.09,0,2.58,3.91
593,94,6.86,6.97,91.47,10.64,10.37,752.56,17.4,7.28,-12.06,12.14,-47.6,0,2.59,3.92
593.5,98.78,6.86,6.97,86.44,10.12,10.8,740.48,17.53,6.57,-24.19,14.94,-49.28,0,2.6,3.94
594,106.37,6.86,6.97,76.41,9.4,10.94,733.17,17.14,4.95,-36.13,18.48,-51.28,-0.01,2.63,3.87
594.5,113.48,6.86,6.97,67.51,8.81,10.33,735.5,15.64,3.26,-38.59,18.47,-51.35,-0.02,2.65,3.76
595,118.68,6.86,6.97,65.43,8.43,9.24,746.18,14.29,3.51,-31.03,14.7,-46.91,-0.01,2.65,3.72
595.5,122.48,6.86,6.97,75.66,8.16,8.23,768.24,14.83,5.45,-19.16,10.91,-40.56,0,2.62,3.71
596,126.5,6.86,6.97,87.28,7.91,7.59,790.5,17.13,7.63,-11.24,8.98,-35.62,0,2.58,3.77
596.5,131.72,6.86,6.97,98.38,7.59,7.28,815.44,19.39,8.81,-10.45,8.5,-31.84,0,2.56,3.91
597,137.14,6.86,6.97,100.81,7.29,7.17,827.83,19.79,9.02,-12.37,8.5,-28.35,-0.01,2.56,3.93
597.5,141.17,6.86,6.97,93.87,7.08,7.16,835.56,19.98,8.89,-13.4,8.44,-25.08,-0.01,2.56,3.79
598,143.35,6.86,6.97,89.29,6.98,7.2,831.59,20.15,8.46,-14.01,8.42,-22.56,-0.01,2.57,3.55
598.5,143.88,6.86,6.97,85.41,6.95,7.24,821.51,20.31,7.98,-14.9,8.54,-21.53,0,2.57,3.58
599,143.7,6.86,6.97,85.45,6.96,7.24,814.29,20.36,7.58,-15.53,8.66,-21.88,0.01,2.58,3.76
599.5,143.9,6.86,6.97,87.5,6.95,7.17,806.48,20.42,6.31,-15.44,8.64,-22.9,0.02,2.6,3.8
600,145.58,6.86,6.97,88.7,6.87,7,805.7,20.5,5.61,-14.57,8.39,-24.25,0.03,2.61,3.83
600.5,149.26,6.86,6.97,92.26,6.7,6.75,802.35,20.17,6.47,-13.44,8,-26.49,0.02,2.6,3.92
601,155.7,6.86,6.97,100.87,6.42,6.45,799.22,20.06,8.3,-13.26,7.65,-30.07,0,2.57,3.97
601.5,163.69,6.86,6.97,107.71,6.11,6.13,791.45,21.64,9.28,-13.77,7.37,-34.28,-0.01,2.55,3.89
602,172.54,6.86,6.97,107.4,5.8,5.82,787.95,24.1,9.79,-14.4,7.1,-38.13,-0.01,2.54,3.77
602.5,180.53,6.86,6.97,102.65,5.54,5.55,777.97,24.32,9.59,-14.66,6.83,-41.44,-0.01,2.55,3.73
603,185.44,6.86,6.96,100.63,5.39,5.35,776.51,23.22,9.48,-14.47,6.63,-44.4,0,2.55,3.7
603.5,186.15,6.86,6.97,111.28,5.37,5.27,761.67,22.99,9.65,-14.51,6.62,-47.22,0.01,2.55,3.73
604,182.31,6.86,6.97,120.9,5.49,5.33,745.59,23.87,9.74,-15.22,6.85,-49.97,0.01,2.54,3.71
604.5,174.46,6.86,6.97,119.57,5.73,5.57,727.51,25.9,9.81,-16.36,7.31,-52.5,0,2.54,3.75
605,164.69,6.86,6.97,117.05,6.07,6.05,727.74,26.3,9.83,-18.18,8.03,-54.73,0,2.54,3.78
605.5,155.53,6.86,6.97,117.07,6.43,6.79,744.87,25.26,9.84,-22.75,9.39,-57.17,0,2.54,3.77
606,148.01,6.86,6.97,118.43,6.76,7.73,771.92,23.5,11.53,-30.49,11.77,-59.98,-0.01,2.51,3.82
606.5,141.95,6.86,6.97,114.63,7.04,8.55,793.14,22.47,16.96,-37.23,14.41,-62.47,-0.03,2.42,3.9
607,135.84,6.86,6.97,119.79,7.36,8.78,804.54,23.64,24.37,-37.3,15.04,-61.13,-0.05,2.29,3.86
607.5,129.01,6.86,6.97,141.68,7.75,8.4,799.45,27.38,28.27,-28.75,12.87,-52.33,-0.02,2.23,3.67
608,122.99,6.86,6.97,151.27,8.13,7.91,790.57,30.24,26.07,-16.72,10.32,-42.56,0,2.26,3.41
608.5,120.34,6.86,6.97,141.95,8.31,7.73,766.46,29,20.33,-11.13,9.4,-37.48,0,2.36,3.39
609,122.13,6.86,6.97,130.25,8.19,7.95,741.85,25.56,15.29,-16.57,10.36,-36.62,0,2.45,3.55
609.5,126.68,6.85,6.97,118.04,7.89,8.4,724.62,23.79,11.28,-25.33,12.11,-38.5,0,2.52,3.69
610,130.76,6.86,6.97,111.71,7.65,8.75,714.63,22.66,8.5,-29.07,12.8,-42.06,0,2.56,3.72
610.5,132.09,6.86,6.97,115.57,7.57,8.71,712.4,22.46,7.07,-25.99,11.81,-45.31,0,2.59,3.63
611,130.63,6.86,6.97,122.35,7.66,8.35,706,22.86,6.78,-18.7,10.16,-46.61,0,2.59,3.56
611.5,128,6.86,6.97,125.96,7.81,7.95,705.99,23.74,7.8,-11.5,8.92,-48.49,-0.01,2.58,3.52
612,126.81,6.86,6.97,132.67,7.89,7.71,709.1,24.93,8.86,-8.08,8.42,-52.65,-0.01,2.56,3.46
612.5,128.08,6.86,6.97,141.3,7.81,7.64,722.67,25.9,9.7,-9.26,8.54,-59.15,-0.01,2.54,3.47
613,131.79,6.86,6.97,137.34,7.59,7.64,736.68,25.77,10.28,-13.21,8.98,-67.16,-0.01,2.53,3.55
613.5,135.97,6.86,6.97,129.13,7.35,7.56,749.86,25.27,10.12,-16.51,9.33,-74.43,0,2.54,3.57
614,139.34,6.86,6.97,128.02,7.18,7.32,751.02,24.7,9.7,-16.62,9.13,-75.93,0.01,2.54,3.53
614.5,141.87,6.86,6.97,130.28,7.05,6.98,756.03,24.52,9.27,-13.75,8.45,-67.55,0.01,2.55,3.45
615,144.6,6.86,6.97,140.61,6.92,6.65,752.36,25.24,9.56,-10.7,7.81,-55.73,0.01,2.55,3.38
615.5,148.71,6.86,6.97,157.3,6.72,6.42,750.62,26.63,9.81,-10.11,7.51,-48.59,0.01,2.54,3.29
616,154.88,6.86,6.97,164.71,6.46,6.26,745.65,27.7,10.19,-11.74,7.46,-46.05,0.01,2.54,3.21
616.5,162.05,6.86,6.97,160.13,6.17,6.14,744.78,28.01,11.13,-13.73,7.43,-45.76,0.01,2.52,3.15
617,167.89,6.86,6.97,151.56,5.96,6.03,746.6,26.32,12.18,-14.8,7.34,-46.36,0,2.5,3.18
617.5,170.43,6.86,6.97,148.76,5.87,5.93,742.57,25.35,13.25,-14.55,7.2,-47.23,0,2.48,3.23
618,167.73,6.86,6.97,148.06,5.96,5.91,727.69,26.44,16.02,-12.43,7.01,-47.36,-0.01,2.44,3.25
618.5,158.9,6.86,6.97,142.33,6.29,6.08,710.46,28.99,20.9,-8.76,6.87,-45.06,-0.01,2.35,3.31
619,145.3,6.86,6.97,136.76,6.88,6.58,695.55,30.98,23.48,-8,7.38,-38.92,0.01,2.31,3.26
619.5,129.26,6.86,6.97,127.87,7.74,7.65,694.25,30.53,20.28,-17.34,9.97,-31.42,0.05,2.36,3.15
620,111.85,6.86,6.97,108.99,8.94,9.67,697.4,26.89,14.5,-32.07,15.93,-27.64,0.05,2.46,3.19
620.5,93.92,6.86,6.97,84.18,10.65,13.11,701.27,20.16,8.84,-42.85,24.62,-27.63,0.02,2.56,3.46
621,77,6.86,6.97,59.15,12.99,18.34,705.42,12.29,4.45,-46.33,32.47,-29.03,0,2.63,3.94
621.5,61.93,6.86,6.97,43.14,16.15,24.34,702.09,7.62,2.65,-42.74,36.48,-30.56,0,2.66,4.25
622,51.8,6.86,6.97,39.05,19.3,28.26,699.02,5.67,2.83,-36.89,37.32,-31.84,0,2.66,4.38
622.5,49.17,6.86,6.97,41.93,20.34,27.7,688.16,4.9,4.22,-34.32,36.82,-32.83,-0.01,2.64,4.65
623,52.53,6.86,6.97,44.85,19.04,23.61,681.76,4.91,5,-33.89,34.16,-33.57,-0.01,2.62,4.84
623.5,59.84,6.86,6.97,48.62,16.71,18.8,679.35,5.23,4.58,-30.84,28.06,-33.98,-0.01,2.63,4.9
624,67.73,6.86,6.97,60.7,14.76,15.04,685.53,5.91,3.91,-23.1,20.92,-33.77,0,2.64,4.88
624.5,73.84,6.86,6.97,86.26,13.54,12.85,688.58,7.81,3.59,-13.59,15.73,-33.22,0.01,2.65,4.78
625,77.01,6.86,6.97,114.52,12.99,12.12,699.59,11.06,4.02,-7.7,13.49,-32.84,0.01,2.64,4.63
625.5,77.58,6.86,6.97,129.08,12.89,12.78,699.05,13.52,4.84,-12.61,14.71,-33.16,0.01,2.63,4.49
626,75.43,6.86,6.96,127.59,13.26,15.03,695.16,13.87,4.6,-26.18,20.24,-34.52,0.01,2.63,4.25
626.5,70.31,6.86,6.97,113.19,14.22,19.31,682.6,12.41,3.14,-38.52,28.99,-36.66,0.01,2.66,4.16
627,62.57,6.86,6.97,92.31,15.98,25.8,676.75,9.53,2.44,-44.53,37.85,-38.96,0,2.67,4.41
627.5,52.15,6.86,6.97,73.49,19.17,34.1,680.79,7.03,3.01,-43.33,43.71,-40.89,0,2.66,4.68
628,42.3,6.86,6.97,66.01,23.64,43.24,694.92,5.96,4.97,-39.19,48.04,-42.35,-0.01,2.63,4.77
628.5,34.76,6.86,6.97,65.87,28.77,52.82,709.04,5.52,6.77,-37.98,56.18,-43.45,-0.01,2.59,4.74
629,29.05,6.86,6.97,65.58,34.42,63,719.69,5.27,6.68,-39.71,69.42,-44.35,0,2.6,4.65
629.5,25.52,6.86,6.97,62.99,39.19,72.95,721.63,4.61,4.82,-42.17,83.54,-44.99,0.01,2.63,4.56
630,23.31,6.86,6.97,61.16,42.91,80.76,724.78,3.57,3.6,-43.22,93.8,-45.02,0.01,2.65,4.77
630.5,21.91,6.86,6.97,59.68,45.64,85.01,719.92,3.2,3.38,-41.24,94.59,-44.15,0,2.65,5.07
631,22.13,6.86,6.97,55.78,45.18,85.16,714.19,3.63,3.76,-39.78,90.19,-42.54,-0.01,2.65,5.02
631.5,24.16,6.86,6.97,49.65,41.4,78.29,709.58,4.49,3.39,-43.03,90.14,-40.9,-0.01,2.65,4.94
632,29.02,6.86,6.97,44.7,34.45,61.59,706.7,5.52,1.83,-52.27,96.64,-39.83,-0.01,2.68,5
632.5,36.98,6.86,6.97,43.34,27.04,41.36,708.1,6.33,-0.4,-61.4,98.58,-38.92,0,2.72,5
633,45.85,6.86,6.97,43.25,21.81,26.29,706.65,6.35,-1.5,-62.08,81.54,-37.51,-0.01,2.74,4.92
633.5,56.26,6.86,6.97,48.12,17.77,17.48,704.66,6.68,-0.81,-53.1,52.65,-35.56,-0.01,2.72,4.57
634,69.16,6.86,6.97,63.28,14.46,12.7,697.06,8.02,0.9,-36.97,28.35,-33.43,-0.01,2.69,4.34
634.5,84.86,6.86,6.97,86.93,11.78,10.15,691.65,10.38,2.08,-20.85,16.03,-31.62,0,2.67,4.27
635,103.16,6.86,6.97,103.26,9.69,8.71,686.03,14.68,2.19,-15.36,11.87,-30.64,0.01,2.67,3.99
635.5,122.6,6.86,6.97,113.27,8.16,7.83,687.82,19.38,2.97,-17.59,10.54,-30.36,0.01,2.66,3.77
636,138.04,6.86,6.97,139.42,7.24,7.2,684.35,20.33,4.84,-19.83,9.87,-30.78,0.01,2.63,3.75
636.5,148.28,6.86,6.97,168.89,6.74,6.7,686.84,21.67,7.07,-20.08,9.26,-31.9,0.01,2.59,3.75
637,151.64,6.86,6.97,178.03,6.59,6.36,677.66,24.88,9.09,-16.06,8.31,-33.37,0.01,2.55,3.65
637.5,148.53,6.86,6.97,174.48,6.73,6.3,664.89,27.11,9.76,-11.15,7.68,-35.14,0,2.54,3.53
638,141.45,6.86,6.97,174.25,7.07,6.7,648.57,27.62,8.75,-16.65,9,-37.21,0,2.56,3.49
638.5,133.18,6.86,6.97,173.05,7.51,7.71,640.74,26.85,7.27,-33.88,14.09,-39.51,0,2.59,3.63
639,123.2,6.86,6.96,148.66,8.12,9.44,649.34,22.79,5.06,-49.97,22.91,-42.02,-0.01,2.62,3.85
639.5,110.18,6.86,6.97,103.35,9.08,11.64,670.42,15.79,2.22,-56.2,30.04,-44.5,-0.02,2.67,3.98
640,94.34,6.86,6.97,76.12,10.6,13.61,691.15,10.82,1.69,-51.32,30.51,-46.51,-0.02,2.68,4.09
640.5,78.59,6.86,6.97,81.61,12.72,14.91,709.14,9.43,3.26,-41.21,27.92,-47.64,-0.02,2.65,4.07
641,67.48,6.86,6.97,112.53,14.82,15.78,717.02,11.08,6.63,-33.93,26.95,-48.24,-0.01,2.6,4
641.5,64.64,6.86,6.97,169.77,15.47,16.26,723.12,15.11,11.92,-37.27,30.42,-49.17,-0.01,2.51,3.92
642,69.57,6.86,6.97,245.29,14.37,15.56,719.4,21.1,17.27,-47.5,36.94,-51.02,-0.01,2.41,3.88
642.5,79.79,6.86,6.97,327.93,12.53,13.27,712.86,28.77,21.78,-52.97,37.51,-53.58,-0.01,2.34,3.94
643,94.16,6.86,6.97,405.02,10.62,10.51,714.62,33.66,24.47,-47.73,27.83,-56.32,0,2.29,3.83
643.5,112.35,6.86,6.97,416.19,8.9,8.32,720.75,34.8,24.27,-35.35,17.18,-58.47,0.01,2.3,3.64
644,133.72,6.86,6.97,342.93,7.48,6.88,735.11,34.64,23.77,-23.21,10.96,-58.58,0.01,2.3,3.58
644.5,157,6.85,6.97,260.45,6.37,5.96,742.59,35.08,24.77,-17.27,8.24,-55.11,0.01,2.29,3.56
645,178.6,6.85,6.97,214.34,5.6,5.37,744.55,34.98,24.5,-17.1,7.26,-50.55,0.02,2.29,3.38
645.5,192.79,6.85,6.97,184.75,5.19,5,737.54,33.59,21.26,-17,6.73,-47.91,0.03,2.35,3.18
646,197.34,6.85,6.97,158.03,5.07,4.84,736.41,31.84,17.99,-14.99,6.31,-47.08,0.04,2.4,3.12
646.5,192.06,6.85,6.97,146.7,5.21,4.94,724.78,31.9,16.29,-11.88,6.08,-47.1,0.04,2.43,3.08
647,178.33,6.85,6.97,152.06,5.61,5.41,714.86,31.85,15.59,-10.65,6.38,-47.38,0.04,2.44,3.12
647.5,159.75,6.85,6.97,163.45,6.26,6.43,686.93,29.5,14.73,-15.98,7.89,-47.77,0.05,2.46,3.19
648,138.87,6.86,6.97,164.77,7.2,8.33,654.53,27.42,12.6,-26.41,11.36,-48.79,0.05,2.49,3.23
648.5,116.77,6.86,6.97,144.88,8.56,11.57,631.75,23.67,9.99,-35.49,16.61,-51.21,0.02,2.54,3.37
649,94.55,6.86,6.97,112.4,10.58,16.56,633.04,15.56,7.1,-39.71,22.58,-55.13,0,2.59,3.64
649.5,73.9,6.86,6.97,83.68,13.53,22.8,658.3,9.58,4.09,-38.79,27.85,-60.15,0,2.64,3.9
650,56.24,6.86,6.97,64.03,17.78,28.17,690.11,7.56,1.27,-33.51,31.67,-65.75,0,2.69,4.05
650.5,43.92,6.86,6.97,55.25,22.77,30.67,709.84,7.39,-0.24,-24.17,32.24,-70.53,0,2.71,4.17
651,37.17,6.85,6.97,55.97,26.9,30.32,717.94,8.21,-0.22,-12.04,29.26,-71.3,-0.01,2.71,4.32
651.5,36.08,6.85,6.97,59.64,27.71,28.26,711.25,9.14,-0.38,-6.37,27.06,-67.29,-0.01,2.72,4.37
652,40.85,6.85,6.97,62.33,24.48,24.93,712.17,9.61,-1.43,-14.18,27.94,-64.53,0,2.73,4.31
652.5,51.97,6.85,6.97,65.2,19.24,20.38,715.77,10.41,-1.89,-27.09,29.35,-64.79,0,2.74,4.26
653,71.03,6.85,6.97,75.44,14.08,15.3,721.32,11.45,-1.86,-35.47,26.64,-67.21,0,2.74,4.07
653.5,96.55,6.85,6.97,110.61,10.36,11.01,731.72,12.26,-0.35,-34.79,19.59,-70.8,0,2.72,3.84
654,127.66,6.85,6.97,205.77,7.83,7.93,733.35,14.2,3.3,-28.65,12.96,-74.7,-0.01,2.65,3.64
654.5,160.51,6.85,6.97,401.62,6.23,5.89,738.29,17.3,8,-21.71,8.89,-78.81,-0.02,2.57,3.41
655,189.12,6.85,6.97,775.47,5.29,4.6,741.52,19.88,12.26,-15.42,6.63,-83.75,-0.01,2.5,3.21
655.5,211.79,6.85,6.97,1307.86,4.72,3.83,749.92,23.37,15.41,-9.72,5.3,-91.12,0,2.45,3.16
656,226.73,6.85,6.97,1618.54,4.41,3.47,748.97,28.07,17.52,-4.65,4.51,-100.37,0.01,2.41,3.21
656.5,236.46,6.85,6.97,1416.03,4.23,3.46,744.07,30.43,18.85,-6.29,4.46,-105.87,0.02,2.39,3.34
657,242.18,6.85,6.97,956.59,4.13,3.75,731.14,31.98,21,-15.97,5.29,-102.81,0.03,2.35,3.54
657.5,241.68,6.81,6.97,565.53,4.14,4.31,722.36,33.79,22.33,-26.07,6.61,-95.09,0.07,2.33,3.54
658,229.41,6.9,6.97,311.62,4.36,5.01,710.01,33.3,19.51,-31.92,7.99,-88.73,0.14,2.38,3.3
658.5,203.5,6.95,6.97,176.91,4.91,5.62,703.05,30.48,15.48,-30.44,8.68,-83.03,0.19,2.45,3.14
659,169.3,6.91,6.97,123.46,5.91,6.15,692.8,27.66,13.33,-20.73,8.28,-76.42,0.2,2.48,3.12
659.5,138.88,6.92,6.97,115.91,7.2,6.87,687.83,27.73,12.13,-13.19,8.55,-72.25,0.22,2.5,3.1
660,115.16,6.98,6.85,124.01,8.68,8.21,690.07,29.43,10.39,-21.52,12.23,-70.82,0.22,2.53,3.05
660.5,102.43,7.07,6.79,119.98,9.76,10.53,703.83,29.52,7.37,-40.18,21.33,-71.03,0.2,2.58,2.98
661,97.31,6.91,6.79,102.34,10.28,13.39,722.9,26.91,2.91,-54.65,32.45,-72.61,0.16,2.66,2.99
661.5,93.98,6.8,6.79,85.02,10.64,14.83,740.44,20.04,1.43,-56.59,35.29,-75.42,0.07,2.69,3.28
662,90.4,6.79,6.79,80.82,11.06,13.83,747.15,15.41,2.54,-45.9,27.5,-78.37,0.02,2.67,3.6
662.5,87.04,6.79,6.79,91.76,11.49,12.16,750.79,14.84,4.75,-28.92,18.75,-80.05,0,2.63,3.69
663,85.84,6.79,6.82,109.56,11.65,11.08,755.35,17.34,6.82,-14.76,13.92,-81.3,0,2.59,3.61
663.5,88.88,6.79,6.85,124.95,11.25,10.66,767.98,21.21,8.46,-10.28,12.33,-82.63,0,2.57,3.59
664,94.44,6.79,6.88,133.61,10.59,10.62,786.21,23.8,9.66,-11.91,12.01,-83.93,0.01,2.54,3.69
664.5,100.82,6.79,6.94,136.12,9.92,10.63,799.76,23.88,9.85,-14.17,11.81,-85.05,0.01,2.54,3.71
665,105.93,6.79,7,134.77,9.44,10.52,804.31,23.23,9.03,-15.72,11.63,-85.69,0.01,2.56,3.65
665.5,108.07,6.79,7,127.66,9.25,10.31,790.68,23.78,7.73,-16.37,11.56,-85.51,0.02,2.58,3.6
666,107.69,6.79,7,124.58,9.29,10.11,773.35,24.95,7.42,-16.46,11.62,-84.35,0.01,2.58,3.62
666.5,106.08,6.79,7,128.03,9.43,10,747.51,24.75,7.86,-16.27,11.74,-82.46,0,2.58,3.6
667,104.56,6.79,7,135.61,9.56,10.01,728.16,23.52,8.06,-16.03,11.85,-80.3,0,2.57,3.53
667.5,103.71,6.79,7.01,139.3,9.64,10.09,707.47,23.15,7.69,-15.85,11.9,-78.5,0,2.58,3.51
668,103.75,6.79,7.01,138.91,9.64,10.18,698.38,23.92,7.58,-15.84,11.89,-77.42,0,2.58,3.48
668.5,104.32,6.79,7.01,141.2,9.59,10.2,682.79,25.03,8.53,-15.46,11.73,-77.23,0,2.56,3.48
669,104.96,6.79,7.01,143.16,9.53,10.12,665.39,25.57,9.61,-14.17,11.36,-78,0,2.55,3.41
669.5,105.51,6.79,7.01,137.65,9.48,9.96,647.11,25.7,10.06,-12.79,11,-79.7,0,2.54,3.32
670,105.52,6.79,7.02,133.29,9.48,9.79,640.4,27.1,9.94,-11.55,10.73,-82.33,0.01,2.54,3.34
670.5,105.14,6.79,7.02,141.14,9.51,9.71,649.85,28.7,9.65,-10.57,10.56,-86.01,0.01,2.55,3.29
671,104.93,6.79,7.02,148.61,9.53,9.77,674.1,29.61,9.85,-11.15,10.7,-90.36,0,2.54,3.23
671.5,104.86,6.79,7.02,146.4,9.54,9.95,693.24,29.76,10.42,-13.57,11.24,-93.83,0,2.53,3.3
672,104.87,6.79,7.02,143.58,9.54,10.16,705.92,29.9,10.89,-16.4,11.9,-93.97,-0.01,2.52,3.37
672.5,104.67,6.79,7.02,143.74,9.55,10.31,711.13,29.79,10.7,-18.19,12.38,-91.66,0,2.53,3.33
673,104.21,6.79,7.01,141.05,9.6,10.33,721.52,28.75,10.57,-18.61,12.54,-89.88,0,2.53,3.26
673.5,103.66,6.79,7.02,139.56,9.65,10.26,730.21,27.57,10.47,-17.92,12.42,-87.48,0.01,2.53,3.25
674,103.04,6.79,7.01,140.73,9.7,10.16,738.98,27.39,10.83,-16.41,12.11,-83.56,0.01,2.52,3.43
674.5,102.71,6.79,7.01,145.35,9.74,10.12,748.09,27.48,11.12,-14.95,11.78,-79.51,0,2.52,3.59
675,102.74,6.79,7.02,149.23,9.73,10.15,745.74,27.27,11.28,-14.82,11.75,-75.47,0,2.52,3.63
675.5,103.03,6.79,7.02,147.13,9.71,10.25,736.53,27.64,11.94,-16.26,12.07,-70.36,0,2.51,3.61
676,103.37,6.79,7.01,138.84,9.67,10.33,723.05,27.4,12.44,-18.05,12.49,-63.53,-0.01,2.5,3.56
676.5,103.31,6.8,7.02,132.77,9.68,10.36,718.81,26.79,11.89,-19.06,12.77,-55.85,-0.01,2.51,3.49
677,103.04,6.79,7.02,128.35,9.7,10.33,717.58,25.99,11.24,-19.07,12.8,-48.56,0,2.52,3.48
677.5,102.55,6.79,7.02,129.75,9.75,10.24,719.81,25.66,11.02,-18.01,12.58,-43.07,-0.01,2.52,3.49
678,102.25,6.79,7.02,138.01,9.78,10.14,711.84,26.74,10.91,-16.72,12.27,-39.3,-0.01,2.52,3.42
678.5,102.01,6.79,7.01,140.13,9.8,10.09,703.24,29.02,11.46,-16.08,12.14,-37.04,-0.01,2.51,3.39
679,102.09,6.79,7.02,138.95,9.8,10.1,686.44,29.95,12.54,-16.48,12.23,-36.17,-0.02,2.5,3.47
679.5,102.63,6.79,7.02,144.5,9.74,10.14,672.19,29.09,13.06,-17.31,12.38,-36.35,-0.02,2.49,3.6
680,103.44,6.79,7.01,151.83,9.67,10.19,656.88,28.94,12.27,-17.8,12.42,-37.18,-0.01,2.5,3.59
680.5,104.27,6.79,7.02,150.07,9.59,10.17,648.34,29.88,11.48,-17.48,12.24,-38.13,0,2.51,3.49
681,105.03,6.8,7.01,143.62,9.52,10.1,649.12,30.58,10.76,-16.79,11.98,-39.98,0,2.53,3.32
681.5,105.55,6.79,7.01,146.43,9.47,9.98,662.8,29.99,9.82,-16.45,11.84,-43.09,0.01,2.54,3.25
682,105.79,6.79,7.02,151.76,9.45,9.86,685.33,29.56,9.82,-16.32,11.78,-46.65,0,2.54,3.34
682.5,105.97,6.79,7.02,147.58,9.44,9.79,708.82,29.98,10.08,-16.17,11.73,-50.96,0,2.54,3.48
683,106.01,6.79,7.01,147.96,9.43,9.8,727.37,30.4,10.57,-16.17,11.72,-56.31,0,2.53,3.67
683.5,105.83,6.79,7.02,150.01,9.45,9.86,739.11,29.91,10.73,-16.43,11.81,-62.37,0,2.53,3.64
684,105.4,6.79,7.01,145.2,9.49,9.96,740.23,28.92,10.85,-16.89,11.97,-68.37,0,2.52,3.53
684.5,104.73,6.79,7.02,145.3,9.55,10.08,740.73,27.97,11.35,-17.36,12.16,-72.61,0,2.52,3.46
685,103.73,6.79,7.02,148.83,9.64,10.2,749.37,27.86,11.76,-17.48,12.3,-74.05,0,2.51,3.41
685.5,102.81,6.79,7.02,149.05,9.73,10.28,756.08,27.02,11.75,-17.25,12.35,-73.09,0,2.51,3.38
686,102.06,6.79,7.01,143,9.8,10.31,759.6,27.01,11.18,-16.66,12.28,-71.95,0,2.52,3.35
686.5,101.98,6.79,7.02,139.15,9.81,10.28,757.73,28.2,10.42,-16.14,12.16,-71.29,0.01,2.53,3.29
687,102.51,6.79,7.01,140.52,9.75,10.21,759.09,28.92,10.7,-15.9,12.04,-70.93,0,2.53,3.26
687.5,103.54,6.79,7.01,142.06,9.66,10.09,757.48,28.24,10.97,-15.88,11.92,-70.91,0,2.52,3.2
688,104.98,6.79,7.02,142.19,9.53,9.94,759.69,27.89,10.99,-15.89,11.76,-71.21,-0.01,2.52,3.14
688.5,106.45,6.79,7.02,137.31,9.39,9.78,751.77,25.86,11.2,-15.65,11.55,-72.4,0,2.52,3.22
689,107.78,6.79,7.01,131.98,9.28,9.62,737.91,23.34,11.62,-15.25,11.32,-75.18,0,2.51,3.25
689.5,108.71,6.79,7.02,131.05,9.2,9.51,711.93,22.8,12.26,-15.05,11.18,-80.05,0,2.5,3.26
690,109.29,6.79,7.02,133.59,9.15,9.45,693.85,23.32,12.88,-15.07,11.13,-86.97,-0.01,2.49,3.26
690.5,109.55,6.79,7.02,130.52,9.13,9.44,670.73,25.16,13.93,-15,11.09,-94.76,-0.01,2.47,3.31
691,109.68,6.79,7.01,124.22,9.12,9.47,655.17,26.77,14.69,-14.99,11.08,-99.09,-0.01,2.46,3.33
691.5,110.19,6.79,7.02,122.65,9.08,9.52,648.55,26.74,14.59,-15.52,11.15,-97.48,-0.01,2.46,3.24
692,111.17,6.79,7.02,121.39,9,9.52,650.52,26.31,13.82,-16.34,11.24,-98.99,0,2.47,3.19
692.5,112.58,6.79,7.02,121.98,8.88,9.42,660.18,26.13,12.59,-16.61,11.17,-106.6,0,2.49,3.05
693,114.3,6.8,7.01,130.98,8.75,9.21,673.36,27.13,11.42,-15.98,10.87,-118.15,0,2.51,2.86
693.5,116.39,6.79,7.01,137.12,8.59,8.94,681.15,27.66,11.4,-15.12,10.49,-129.12,0.01,2.52,2.8
694,119.22,6.79,7.02,126.85,8.39,8.68,686.8,27.12,12.37,-15.21,10.27,-135.07,0.01,2.5,2.86
694.5,122.57,6.79,7.01,115.41,8.16,8.46,692.61,26.78,13.91,-16.38,10.25,-133.01,0.01,2.47,2.94
